Report Month,Continent,Country,Country Code,Language Name,Language Code,Is Sign Language,Is ISO Recognized,First Language Population,First Language Population Group,Language EGIDS,EGIDS Group,EGIDS Has Data Support,All Access Population,All Access Status,All Access Chapter Goal,Eligible For ETEN Funding,All Access Chapters To Goal,Top 100 Progress,Top 100 Revision Status,Completed Scripture,Latest Publication Year,Text Chapters Completed,Audio Chapters Completed,Video Chapters Completed,Unknown Mode Chapters Completed,Translation Status,Is Remaining Translation Need,Expressed Need,Expressed Need Sensitivity,Active Translation,Active Language Development,Active Scripture Engagement,Active Intent,Active OBT,Engagement Maximum Sensitivity,Engagement Minimum Sensitivity,Access Through 2nd Language,2nd Language Scripture Level,Is Protected Country,IllumiNations Region,ETENRegion
2025-08,Africa,Angola,AO,Oshiwambo [kua],kua,No,Yes,1453000,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2012,1189,37,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Songo [nsx],nsx,No,Yes,50000,10K - 99.9K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2021,458,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Umbundu [umb],umb,No,Yes,8450000,500K - 9.99M,3,Institutional,Yes,Top 100,Translation in Progress,2378,Yes,1189,Bible,,Bible,2008,1189,260,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Yauma [yax] ,yax,No,Yes,31000,10K - 99.9K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,45,,,Selections,1978,21,24,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Benin,BJ,Aguna [aug] ,aug,No,Yes,28000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,Stories,2025,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Aja [ajg],ajg,No,Yes,1400000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Translation in Progress,1189,Yes,356,,,New Testament,2023,356,260,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Anii [blo],blo,No,Yes,63700,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,Stories,2019,0,0,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Baatonum [bba],bba,No,Yes,1260000,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1996,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Benin Sign Language [BJ58],BJ58,Yes,No,12500,10K - 99.9K,5,Developing,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Biali [beh],beh,No,Yes,203080,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2018,379,310,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Boko [bqc],bqc,No,Yes,156000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2010,1189,1188,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Dendi [ddn],ddn,No,Yes,489050,100K - 499K,3,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2018,260,260,0,109,Work In Progress,No,,,Yes,Yes,No,No,No,Restricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Ditammari [tbz],tbz,No,Yes,293300,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2002,1189,1189,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Ede Cabe [cbj],cbj,No,Yes,4600,1000 - 4999,6a,Vigorous,Yes,"1 to 4,999",Goal Met in the language,25,No,25,,,Selections,,102,100,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Ede Ica [ica],ica,No,Yes,56000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,102,,,Selections,,102,24,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Ede Idaca [idd],idd,No,Yes,208000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2019,507,457,0,197,Work In Progress,No,,,Yes,No,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Ede Ije [ijj],ijj,No,Yes,190000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,118,,,Selections,,117,100,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Ede Nago, Kura [nqk] ",nqk,No,Yes,25000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,68,,,Selections,,0,68,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Fon [fon],fon,No,Yes,2520400,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2014,1189,1189,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Foodo [fod],fod,No,Yes,26400,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,22,,,Selections,1998,22,0,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Restricted,Restricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Fulfulde, Borgu [fue]",fue,No,Yes,879000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2024,1189,260,0,377,Work In Progress,No,,,Yes,No,No,No,Yes,Restricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Ayizo [ayb]",ayb,No,Yes,636000,500K - 9.99M,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,Stories,2025,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,No,No,No,No,Unrestricted,Unrestricted,Fon [fon],,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Ci [cib] ",cib,No,Yes,25000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,44,,,Selections,,44,27,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Defi [gbh]",gbh,No,Yes,9000,5K - 9.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,24,,,Selections,,0,24,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Eastern Xwla [gbx]",gbx,No,Yes,126000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,43,,,,,43,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Gbesi [gbs] ",gbs,No,Yes,65000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Kotafon [kqk]",kqk,No,Yes,198000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Confidential,Confidential,"Gbe, Ayizo [ayb]",Stories,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Maxi [mxl]",mxl,No,Yes,491800,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,51,,,Stories,2017,51,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Saxwe [sxw]",sxw,No,Yes,359000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2022,325,260,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Tofin [tfi]",tfi,No,Yes,175000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,113,,,Stories,2025,113,0,0,0,Work In Progress,No,,Unrestricted,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Weme [wem]",wem,No,Yes,347000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,24,,,,,24,0,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Western Xwla [xwl]",xwl,No,Yes,101100,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,24,,,Selections,,0,24,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Gbe, Xwela [xwe]",xwe,No,Yes,104000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,52,,,,,52,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Gun [guw],guw,No,Yes,1698000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1923,1189,1189,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Lukpa [dop],dop,No,Yes,188900,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2009,1189,1189,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Restricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Mbelime [mql],mql,No,Yes,119900,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,174,,,Selections,2014,174,0,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Mokole [mkl],mkl,No,Yes,44000,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2021,1189,1188,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Nago, Northern [xkb]",xkb,No,Yes,182800,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,Stories,2024,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,Yes,Yes,No,No,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,"Nago, Southern [nqg]",nqg,No,Yes,819000,500K - 9.99M,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,101,,,,,101,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Nateni [ntm],ntm,No,Yes,125000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2020,473,350,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Notre [bly] ,bly,No,Yes,1500,1000 - 4999,6b,In_Trouble,Yes,"1 to 4,999",Translation in Progress,25,Yes,24,,,Selections,,0,24,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Waama [wwa],wwa,No,Yes,141000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2013,538,260,0,105,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Unrestricted,,,No,null,Africa
2025-08,Africa,Benin,BJ,Yom [pil],pil,No,Yes,263000,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2020,1189,260,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Botswana,BW,Birwa [brl] ,brl,No,Yes,71000,10K - 99.9K,6a,Vigorous,No,"5,000 to 499,999",Translation Not Started,260,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Botswana Sign Language [BW53],BW53,Yes,No,7000,5K - 9.9K,5,Developing,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Kgalagadi [xkv],xkv,No,Yes,84300,10K - 99.9K,6a,Vigorous,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2020,260,260,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Kua [tyu] ,tyu,No,Yes,820,1 - 999,6b,In_Trouble,No,"1 to 4,999",Translation Not Started,25,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Mbukushu [mhw],mhw,No,Yes,99210,10K - 99.9K,4,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,1993,414,0,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Naro [nhr],nhr,No,Yes,10000,10K - 99.9K,3,Institutional,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2012,315,260,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Setswana [tsn],tsn,No,Yes,6025730,500K - 9.99M,1,Institutional,Yes,Top 100,Goal Met in the language,2378,No,2378,Two Bibles,,Bible,2014,1189,1189,0,0,Recent Scripture,No,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Taa [nmn] ,nmn,No,Yes,2500,1000 - 4999,6b,In_Trouble,No,"1 to 4,999",Translation Not Started,25,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,Yes,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Botswana,BW,Tswapong [two] ,two,No,Yes,5380,5K - 9.9K,6a,Vigorous,No,"5,000 to 499,999",Translation Not Started,260,Yes,0,,,,,0,0,0,0,Potential Need,Yes,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
